['whole.n.02.whole', 'whole.n.02.unit']
['advent.n.01.advent', 'advent.n.01.coming']
['entrance.n.03.entrance', 'entrance.n.03.entering']
['entrance.n.03.entrance', 'entrance.n.03.entry']
['entrance.n.03.entrance', 'entrance.n.03.ingress']
['entrance.n.03.entrance', 'entrance.n.03.incoming']
['entrance.n.03.entering', 'entrance.n.03.entry']
['entrance.n.03.entering', 'entrance.n.03.ingress']
['entrance.n.03.entering', 'entrance.n.03.incoming']
['entrance.n.03.entry', 'entrance.n.03.ingress']
['entrance.n.03.entry', 'entrance.n.03.incoming']
['entrance.n.03.ingress', 'entrance.n.03.incoming']
['registration.n.01.registration', 'registration.n.01.enrollment']
['registration.n.01.registration', 'registration.n.01.enrolment']
['registration.n.01.enrollment', 'registration.n.01.enrolment']
['emergence.n.03.emergence', 'emergence.n.03.emersion']
['reappearance.n.02.reappearance', 'reappearance.n.02.return']
['return.n.02.return', 'return.n.02.homecoming']
['interpenetration.n.02.interpenetration', 'interpenetration.n.02.permeation']
['docking.n.01.docking', 'docking.n.01.moorage']
['docking.n.01.docking', 'docking.n.01.dockage']
['docking.n.01.moorage', 'docking.n.01.dockage']
['farewell.n.02.farewell', 'farewell.n.02.leave']
['farewell.n.02.farewell', 'farewell.n.02.parting']
['farewell.n.02.leave', 'farewell.n.02.parting']
['disappearance.n.01.disappearance', 'disappearance.n.01.disappearing']
['retirement.n.03.retirement', 'retirement.n.03.retreat']
['medical_evacuation.n.01.medevac', 'medical_evacuation.n.01.medivac']
['desertion.n.01.desertion', 'desertion.n.01.abandonment']
['desertion.n.01.desertion', 'desertion.n.01.defection']
['desertion.n.01.abandonment', 'desertion.n.01.defection']
['emigration.n.01.emigration', 'emigration.n.01.expatriation']
['disengagement.n.02.disengagement', 'disengagement.n.02.fallback']
['disengagement.n.02.disengagement', 'disengagement.n.02.pullout']
['disengagement.n.02.fallback', 'disengagement.n.02.pullout']
['receding.n.02.receding', 'receding.n.02.recession']
['debarkation.n.01.debarkation', 'debarkation.n.01.disembarkation']
['debarkation.n.01.debarkation', 'debarkation.n.01.disembarkment']
['debarkation.n.01.disembarkation', 'debarkation.n.01.disembarkment']
['boarding.n.01.boarding', 'boarding.n.01.embarkation']
['boarding.n.01.boarding', 'boarding.n.01.embarkment']
['boarding.n.01.embarkation', 'boarding.n.01.embarkment']
['escape.n.01.escape', 'escape.n.01.flight']
['slip.n.15.slip', 'slip.n.15.eluding']
['maneuver.n.05.maneuver', 'maneuver.n.05.manoeuvre']
['break.n.16.break', 'break.n.16.breakout']
['break.n.16.break', 'break.n.16.jailbreak']
['break.n.16.break', 'break.n.16.prisonbreak']
['break.n.16.breakout', 'break.n.16.jailbreak']
['break.n.16.breakout', 'break.n.16.prisonbreak']
['break.n.16.jailbreak', 'break.n.16.prisonbreak']
['getaway.n.02.getaway', 'getaway.n.02.lam']
['exodus.n.01.exodus', 'exodus.n.01.hegira']
['exodus.n.01.exodus', 'exodus.n.01.hejira']
['exodus.n.01.hegira', 'exodus.n.01.hejira']
['close_call.n.01.squeak', 'close_call.n.01.squeaker']
['dispatch.n.02.dispatch', 'dispatch.n.02.despatch']
['dispatch.n.02.dispatch', 'dispatch.n.02.shipment']
['dispatch.n.02.despatch', 'dispatch.n.02.shipment']
['realization.n.06.realization', 'realization.n.06.realisation']
['realization.n.06.realization', 'realization.n.06.fruition']
['realization.n.06.realisation', 'realization.n.06.fruition']
['orgasm.n.01.orgasm', 'orgasm.n.01.climax']
['orgasm.n.01.orgasm', 'orgasm.n.01.coming']
['orgasm.n.01.climax', 'orgasm.n.01.coming']
['fulfillment.n.02.fulfillment', 'fulfillment.n.02.fulfilment']
['blockbuster.n.02.blockbuster', 'blockbuster.n.02.megahit']
['hit.n.03.hit', 'hit.n.03.smash']
['hit.n.03.hit', 'hit.n.03.smasher']
['hit.n.03.hit', 'hit.n.03.strike']
['hit.n.03.hit', 'hit.n.03.bang']
['hit.n.03.smash', 'hit.n.03.smasher']
['hit.n.03.smash', 'hit.n.03.strike']
['hit.n.03.smash', 'hit.n.03.bang']
['hit.n.03.smasher', 'hit.n.03.strike']
['hit.n.03.smasher', 'hit.n.03.bang']
['hit.n.03.strike', 'hit.n.03.bang']
['passing.n.07.passing', 'passing.n.07.pass']
['passing.n.07.passing', 'passing.n.07.qualifying']
['passing.n.07.pass', 'passing.n.07.qualifying']
['failing.n.02.failing', 'failing.n.02.flunk']
['capitulation.n.03.capitulation', 'capitulation.n.03.fall']
['capitulation.n.03.capitulation', 'capitulation.n.03.surrender']
['capitulation.n.03.fall', 'capitulation.n.03.surrender']
['frustration.n.02.frustration', 'frustration.n.02.thwarting']
['frustration.n.02.frustration', 'frustration.n.02.foiling']
['frustration.n.02.thwarting', 'frustration.n.02.foiling']
['overturn.n.02.overturn', 'overturn.n.02.upset']
['backsliding.n.01.backsliding', 'backsliding.n.01.lapse']
['backsliding.n.01.backsliding', 'backsliding.n.01.lapsing']
['backsliding.n.01.backsliding', 'backsliding.n.01.relapse']
['backsliding.n.01.backsliding', 'backsliding.n.01.relapsing']
['backsliding.n.01.backsliding', 'backsliding.n.01.reversion']
['backsliding.n.01.backsliding', 'backsliding.n.01.reverting']
['backsliding.n.01.lapse', 'backsliding.n.01.lapsing']
['backsliding.n.01.lapse', 'backsliding.n.01.relapse']
['backsliding.n.01.lapse', 'backsliding.n.01.relapsing']
['backsliding.n.01.lapse', 'backsliding.n.01.reversion']
['backsliding.n.01.lapse', 'backsliding.n.01.reverting']
['backsliding.n.01.lapsing', 'backsliding.n.01.relapse']
['backsliding.n.01.lapsing', 'backsliding.n.01.relapsing']
['backsliding.n.01.lapsing', 'backsliding.n.01.reversion']
['backsliding.n.01.lapsing', 'backsliding.n.01.reverting']
['backsliding.n.01.relapse', 'backsliding.n.01.relapsing']
['backsliding.n.01.relapse', 'backsliding.n.01.reversion']
['backsliding.n.01.relapse', 'backsliding.n.01.reverting']
['backsliding.n.01.relapsing', 'backsliding.n.01.reversion']
['backsliding.n.01.relapsing', 'backsliding.n.01.reverting']
['backsliding.n.01.reversion', 'backsliding.n.01.reverting']
['motivation.n.03.motivation', 'motivation.n.03.motivating']
['mistake.n.01.mistake', 'mistake.n.01.error']
['mistake.n.01.mistake', 'mistake.n.01.fault']
['mistake.n.01.error', 'mistake.n.01.fault']
['error.n.04.error', 'error.n.04.misplay']
['blot.n.02.blot', 'blot.n.02.smear']
['blot.n.02.blot', 'blot.n.02.smirch']
['blot.n.02.blot', 'blot.n.02.spot']
['blot.n.02.blot', 'blot.n.02.stain']
['blot.n.02.smear', 'blot.n.02.smirch']
['blot.n.02.smear', 'blot.n.02.spot']
['blot.n.02.smear', 'blot.n.02.stain']
['blot.n.02.smirch', 'blot.n.02.spot']
['blot.n.02.smirch', 'blot.n.02.stain']
['blot.n.02.spot', 'blot.n.02.stain']
['backfire.n.04.backfire', 'backfire.n.04.boomerang']
['slip.n.02.slip', 'slip.n.02.miscue']
['slip.n.02.slip', 'slip.n.02.parapraxis']
['slip.n.02.miscue', 'slip.n.02.parapraxis']
['oversight.n.03.oversight', 'oversight.n.03.lapse']
['omission.n.01.omission', 'omission.n.01.skip']
['blunder.n.01.blunder', 'blunder.n.01.blooper']
['blunder.n.01.blunder', 'blunder.n.01.bloomer']
['blunder.n.01.blunder', 'blunder.n.01.bungle']
['blunder.n.01.blunder', 'blunder.n.01.pratfall']
['blunder.n.01.blunder', 'blunder.n.01.fuckup']
['blunder.n.01.blunder', 'blunder.n.01.flub']
['blunder.n.01.blunder', 'blunder.n.01.botch']
['blunder.n.01.blunder', 'blunder.n.01.boner']
['blunder.n.01.blooper', 'blunder.n.01.bloomer']
['blunder.n.01.blooper', 'blunder.n.01.bungle']
['blunder.n.01.blooper', 'blunder.n.01.pratfall']
['blunder.n.01.blooper', 'blunder.n.01.fuckup']
['blunder.n.01.blooper', 'blunder.n.01.flub']
['blunder.n.01.blooper', 'blunder.n.01.botch']
['blunder.n.01.blooper', 'blunder.n.01.boner']
['blunder.n.01.bloomer', 'blunder.n.01.bungle']
['blunder.n.01.bloomer', 'blunder.n.01.pratfall']
['blunder.n.01.bloomer', 'blunder.n.01.fuckup']
['blunder.n.01.bloomer', 'blunder.n.01.flub']
['blunder.n.01.bloomer', 'blunder.n.01.botch']
['blunder.n.01.bloomer', 'blunder.n.01.boner']
['blunder.n.01.bungle', 'blunder.n.01.pratfall']
['blunder.n.01.bungle', 'blunder.n.01.fuckup']
['blunder.n.01.bungle', 'blunder.n.01.flub']
['blunder.n.01.bungle', 'blunder.n.01.botch']
['blunder.n.01.bungle', 'blunder.n.01.boner']
['blunder.n.01.pratfall', 'blunder.n.01.fuckup']
['blunder.n.01.pratfall', 'blunder.n.01.flub']
['blunder.n.01.pratfall', 'blunder.n.01.botch']
['blunder.n.01.pratfall', 'blunder.n.01.boner']
['blunder.n.01.fuckup', 'blunder.n.01.flub']
['blunder.n.01.fuckup', 'blunder.n.01.botch']
['blunder.n.01.fuckup', 'blunder.n.01.boner']
['blunder.n.01.flub', 'blunder.n.01.botch']
['blunder.n.01.flub', 'blunder.n.01.boner']
['blunder.n.01.botch', 'blunder.n.01.boner']
['fumble.n.01.fumble', 'fumble.n.01.muff']
['faux_pas.n.01.gaffe', 'faux_pas.n.01.solecism']
['faux_pas.n.01.gaffe', 'faux_pas.n.01.slip']
['faux_pas.n.01.solecism', 'faux_pas.n.01.slip']
['trip.n.07.trip', 'trip.n.07.stumble']
['trip.n.07.trip', 'trip.n.07.misstep']
['trip.n.07.stumble', 'trip.n.07.misstep']
['spill.n.04.spill', 'spill.n.04.tumble']
['spill.n.04.spill', 'spill.n.04.fall']
['spill.n.04.tumble', 'spill.n.04.fall']
['obtainment.n.01.obtainment', 'obtainment.n.01.obtention']
['catching.n.03.catching', 'catching.n.03.contracting']
['redemption.n.03.redemption', 'redemption.n.03.repurchase']
['redemption.n.03.redemption', 'redemption.n.03.buyback']
['redemption.n.03.repurchase', 'redemption.n.03.buyback']
['buying.n.01.buying', 'buying.n.01.purchasing']
['inheritance.n.01.inheritance', 'inheritance.n.01.heritage']
['borrowing.n.01.borrowing', 'borrowing.n.01.adoption']
['naturalization.n.04.naturalization', 'naturalization.n.04.naturalisation']
['confiscation.n.01.confiscation', 'confiscation.n.01.arrogation']
['distress.n.04.distress', 'distress.n.04.distraint']
['impoundment.n.01.impoundment', 'impoundment.n.01.impounding']
['impoundment.n.01.impoundment', 'impoundment.n.01.internment']
['impoundment.n.01.impoundment', 'impoundment.n.01.poundage']
['impoundment.n.01.impounding', 'impoundment.n.01.internment']
['impoundment.n.01.impounding', 'impoundment.n.01.poundage']
['impoundment.n.01.internment', 'impoundment.n.01.poundage']
['impress.n.01.impress', 'impress.n.01.impressment']
['occupation.n.04.occupation', 'occupation.n.04.occupancy']
['sequestration.n.04.sequestration', 'sequestration.n.04.requisition']
['grant.n.02.grant', 'grant.n.02.subsidization']
['grant.n.02.grant', 'grant.n.02.subsidisation']
['grant.n.02.subsidization', 'grant.n.02.subsidisation']
['award.n.01.award', 'award.n.01.awarding']
['capture.n.01.capture', 'capture.n.01.seizure']
['apprehension.n.04.apprehension', 'apprehension.n.04.arrest']
['apprehension.n.04.apprehension', 'apprehension.n.04.catch']
['apprehension.n.04.apprehension', 'apprehension.n.04.collar']
['apprehension.n.04.apprehension', 'apprehension.n.04.pinch']
['apprehension.n.04.arrest', 'apprehension.n.04.catch']
['apprehension.n.04.arrest', 'apprehension.n.04.collar']
['apprehension.n.04.arrest', 'apprehension.n.04.pinch']
['apprehension.n.04.catch', 'apprehension.n.04.collar']
['apprehension.n.04.catch', 'apprehension.n.04.pinch']
['apprehension.n.04.collar', 'apprehension.n.04.pinch']
['conquest.n.01.conquest', 'conquest.n.01.conquering']
['conquest.n.01.conquest', 'conquest.n.01.subjection']
['conquest.n.01.conquest', 'conquest.n.01.subjugation']
['conquest.n.01.conquering', 'conquest.n.01.subjection']
['conquest.n.01.conquering', 'conquest.n.01.subjugation']
['conquest.n.01.subjection', 'conquest.n.01.subjugation']
['restitution.n.03.restitution', 'restitution.n.03.return']
['restitution.n.03.restitution', 'restitution.n.03.restoration']
['restitution.n.03.restitution', 'restitution.n.03.regaining']
['restitution.n.03.return', 'restitution.n.03.restoration']
['restitution.n.03.return', 'restitution.n.03.regaining']
['restitution.n.03.restoration', 'restitution.n.03.regaining']
['reception.n.04.reception', 'reception.n.04.receipt']
['auction.n.02.auction', 'auction.n.02.vendue']
['capitalization.n.04.capitalization', 'capitalization.n.04.capitalisation']
['overcapitalization.n.01.overcapitalization', 'overcapitalization.n.01.overcapitalisation']
['rescue.n.01.rescue', 'rescue.n.01.deliverance']
['rescue.n.01.rescue', 'rescue.n.01.delivery']
['rescue.n.01.rescue', 'rescue.n.01.saving']
['rescue.n.01.deliverance', 'rescue.n.01.delivery']
['rescue.n.01.deliverance', 'rescue.n.01.saving']
['rescue.n.01.delivery', 'rescue.n.01.saving']
['redemption.n.01.redemption', 'redemption.n.01.salvation']
['absolution.n.02.absolution', 'absolution.n.02.remission']
['conversion.n.04.conversion', 'conversion.n.04.rebirth']
['expiation.n.02.expiation', 'expiation.n.02.atonement']
['expiation.n.02.expiation', 'expiation.n.02.propitiation']
['expiation.n.02.atonement', 'expiation.n.02.propitiation']
['reparation.n.04.reparation', 'reparation.n.04.amends']
['liberation.n.01.liberation', 'liberation.n.01.release']
['liberation.n.01.liberation', 'liberation.n.01.freeing']
['liberation.n.01.release', 'liberation.n.01.freeing']
['reclamation.n.02.reclamation', 'reclamation.n.02.reformation']
['recapture.n.02.recapture', 'recapture.n.02.retaking']
['performance.n.03.performance', 'performance.n.03.execution']
['mechanism.n.02.mechanism', 'mechanism.n.02.mechanics']
['juggle.n.02.juggle', 'juggle.n.02.juggling']
['magic_trick.n.01.trick', 'magic_trick.n.01.magic']
['magic_trick.n.01.trick', 'magic_trick.n.01.legerdemain']
['magic_trick.n.01.trick', 'magic_trick.n.01.conjuration']
['magic_trick.n.01.trick', 'magic_trick.n.01.thaumaturgy']
['magic_trick.n.01.trick', 'magic_trick.n.01.illusion']
['magic_trick.n.01.trick', 'magic_trick.n.01.deception']
['magic_trick.n.01.magic', 'magic_trick.n.01.legerdemain']
['magic_trick.n.01.magic', 'magic_trick.n.01.conjuration']
['magic_trick.n.01.magic', 'magic_trick.n.01.thaumaturgy']
['magic_trick.n.01.magic', 'magic_trick.n.01.illusion']
['magic_trick.n.01.magic', 'magic_trick.n.01.deception']
['magic_trick.n.01.legerdemain', 'magic_trick.n.01.conjuration']
['magic_trick.n.01.legerdemain', 'magic_trick.n.01.thaumaturgy']
['magic_trick.n.01.legerdemain', 'magic_trick.n.01.illusion']
['magic_trick.n.01.legerdemain', 'magic_trick.n.01.deception']
['magic_trick.n.01.conjuration', 'magic_trick.n.01.thaumaturgy']
['magic_trick.n.01.conjuration', 'magic_trick.n.01.illusion']
['magic_trick.n.01.conjuration', 'magic_trick.n.01.deception']
['magic_trick.n.01.thaumaturgy', 'magic_trick.n.01.illusion']
['magic_trick.n.01.thaumaturgy', 'magic_trick.n.01.deception']
['magic_trick.n.01.illusion', 'magic_trick.n.01.deception']
['rendition.n.04.rendition', 'rendition.n.04.rendering']
['rendition.n.04.rendition', 'rendition.n.04.interpretation']
['rendition.n.04.rendering', 'rendition.n.04.interpretation']
['automation.n.01.automation', 'automation.n.01.mechanization']
['automation.n.01.automation', 'automation.n.01.mechanisation']
['automation.n.01.mechanization', 'automation.n.01.mechanisation']
['motorization.n.01.motorization', 'motorization.n.01.motorisation']
['launching.n.03.launching', 'launching.n.03.launch']
['blastoff.n.01.blastoff', 'blastoff.n.01.shot']
['drive.n.01.drive', 'drive.n.01.thrust']
['impulse.n.05.impulse', 'impulse.n.05.impulsion']
['impulse.n.05.impulse', 'impulse.n.05.impetus']
['impulse.n.05.impulsion', 'impulse.n.05.impetus']
['roll.n.15.roll', 'roll.n.15.bowl']
['heave.n.06.heave', 'heave.n.06.heaving']
['hurl.n.01.hurl', 'hurl.n.01.cast']
['pass.n.15.pass', 'pass.n.15.toss']
['pass.n.15.pass', 'pass.n.15.flip']
['pass.n.15.toss', 'pass.n.15.flip']
['pitch.n.02.pitch', 'pitch.n.02.delivery']
['beanball.n.01.beanball', 'beanball.n.01.beaner']
['curve.n.03.curve', 'curve.n.03.bender']
['fastball.n.01.fastball', 'fastball.n.01.heater']
['fastball.n.01.fastball', 'fastball.n.01.smoke']
['fastball.n.01.fastball', 'fastball.n.01.hummer']
['fastball.n.01.fastball', 'fastball.n.01.bullet']
['fastball.n.01.heater', 'fastball.n.01.smoke']
['fastball.n.01.heater', 'fastball.n.01.hummer']
['fastball.n.01.heater', 'fastball.n.01.bullet']
['fastball.n.01.smoke', 'fastball.n.01.hummer']
['fastball.n.01.smoke', 'fastball.n.01.bullet']
['fastball.n.01.hummer', 'fastball.n.01.bullet']
['knuckleball.n.01.knuckleball', 'knuckleball.n.01.knuckler']
['spitball.n.02.spitball', 'spitball.n.02.spitter']
['push.n.01.push', 'push.n.01.pushing']
['nudge.n.01.nudge', 'nudge.n.01.jog']
['press.n.09.press', 'press.n.09.pressure']
['press.n.09.press', 'press.n.09.pressing']
['press.n.09.pressure', 'press.n.09.pressing']
['jostle.n.01.jostle', 'jostle.n.01.jostling']
['pull.n.01.pull', 'pull.n.01.pulling']
['draw.n.09.draw', 'draw.n.09.haul']
['draw.n.09.draw', 'draw.n.09.haulage']
['draw.n.09.haul', 'draw.n.09.haulage']
['tow.n.01.tow', 'tow.n.01.towage']
['tug.n.01.tug', 'tug.n.01.jerk']
['draft.n.11.draft', 'draft.n.11.draught']
['draft.n.11.draft', 'draft.n.11.drawing']
['draft.n.11.draught', 'draft.n.11.drawing']
['extirpation.n.02.extirpation', 'extirpation.n.02.excision']
['lift.n.12.lift', 'lift.n.12.raise']
['lift.n.12.lift', 'lift.n.12.heave']
['lift.n.12.raise', 'lift.n.12.heave']
['expulsion.n.03.expulsion', 'expulsion.n.03.projection']
['expulsion.n.03.expulsion', 'expulsion.n.03.ejection']
['expulsion.n.03.projection', 'expulsion.n.03.ejection']
['belch.n.01.belch', 'belch.n.01.belching']
['belch.n.01.belch', 'belch.n.01.burp']
['belch.n.01.belch', 'belch.n.01.burping']
['belch.n.01.belch', 'belch.n.01.eructation']
['belch.n.01.belching', 'belch.n.01.burp']
['belch.n.01.belching', 'belch.n.01.burping']
['belch.n.01.belching', 'belch.n.01.eructation']
['belch.n.01.burp', 'belch.n.01.burping']
['belch.n.01.burp', 'belch.n.01.eructation']
['belch.n.01.burping', 'belch.n.01.eructation']
['blink.n.01.blink', 'blink.n.01.blinking']
['blink.n.01.blink', 'blink.n.01.wink']
['blink.n.01.blink', 'blink.n.01.winking']
['blink.n.01.blinking', 'blink.n.01.wink']
['blink.n.01.blinking', 'blink.n.01.winking']
['blink.n.01.wink', 'blink.n.01.winking']
['blush.n.02.blush', 'blush.n.02.flush']
['spit.n.04.spit', 'spit.n.04.spitting']
['spit.n.04.spit', 'spit.n.04.expectoration']
['spit.n.04.spitting', 'spit.n.04.expectoration']
['vomit.n.03.vomit', 'vomit.n.03.vomiting']
['vomit.n.03.vomit', 'vomit.n.03.emesis']
['vomit.n.03.vomit', 'vomit.n.03.regurgitation']
['vomit.n.03.vomit', 'vomit.n.03.disgorgement']
['vomit.n.03.vomit', 'vomit.n.03.puking']
['vomit.n.03.vomiting', 'vomit.n.03.emesis']
['vomit.n.03.vomiting', 'vomit.n.03.regurgitation']
['vomit.n.03.vomiting', 'vomit.n.03.disgorgement']
['vomit.n.03.vomiting', 'vomit.n.03.puking']
['vomit.n.03.emesis', 'vomit.n.03.regurgitation']
['vomit.n.03.emesis', 'vomit.n.03.disgorgement']
['vomit.n.03.emesis', 'vomit.n.03.puking']
['vomit.n.03.regurgitation', 'vomit.n.03.disgorgement']
['vomit.n.03.regurgitation', 'vomit.n.03.puking']
['vomit.n.03.disgorgement', 'vomit.n.03.puking']
['jump.n.06.jump', 'jump.n.06.jumping']
['leap.n.01.leap', 'leap.n.01.leaping']
['leap.n.01.leap', 'leap.n.01.spring']
['leap.n.01.leap', 'leap.n.01.saltation']
['leap.n.01.leap', 'leap.n.01.bound']
['leap.n.01.leap', 'leap.n.01.bounce']
['leap.n.01.leaping', 'leap.n.01.spring']
['leap.n.01.leaping', 'leap.n.01.saltation']
['leap.n.01.leaping', 'leap.n.01.bound']
['leap.n.01.leaping', 'leap.n.01.bounce']
['leap.n.01.spring', 'leap.n.01.saltation']
['leap.n.01.spring', 'leap.n.01.bound']
['leap.n.01.spring', 'leap.n.01.bounce']
['leap.n.01.saltation', 'leap.n.01.bound']
['leap.n.01.saltation', 'leap.n.01.bounce']
['leap.n.01.bound', 'leap.n.01.bounce']
['vault.n.04.vault', 'vault.n.04.hurdle']
['centering.n.02.centering', 'centering.n.02.snap']
['transmission.n.01.transmission', 'transmission.n.01.transmittal']
['transmission.n.01.transmission', 'transmission.n.01.transmitting']
['transmission.n.01.transmittal', 'transmission.n.01.transmitting']
['remission.n.03.remission', 'remission.n.03.remit']
['mailing.n.02.mailing', 'mailing.n.02.posting']
['wheeling.n.02.wheeling', 'wheeling.n.02.rolling']
['shooting.n.01.shooting', 'shooting.n.01.shot']
['discharge.n.09.discharge', 'discharge.n.09.firing']
['gunfire.n.01.gunfire', 'gunfire.n.01.gunshot']
['skeet.n.01.skeet', 'skeet.n.01.trapshooting']
['gunfight.n.01.gunfight', 'gunfight.n.01.gunplay']
['gunfight.n.01.gunfight', 'gunfight.n.01.shootout']
['gunfight.n.01.gunplay', 'gunfight.n.01.shootout']
['rub.n.02.rub', 'rub.n.02.wipe']
['tap.n.08.tap', 'tap.n.08.pat']
['tap.n.08.tap', 'tap.n.08.dab']
['tap.n.08.pat', 'tap.n.08.dab']
['hit.n.02.hit', 'hit.n.02.hitting']
['hit.n.02.hit', 'hit.n.02.striking']
['hit.n.02.hitting', 'hit.n.02.striking']
['crash.n.04.crash', 'crash.n.04.smash']
['impingement.n.02.impingement', 'impingement.n.02.impaction']
['base_on_balls.n.01.walk', 'base_on_balls.n.01.pass']
['grounder.n.01.grounder', 'grounder.n.01.groundball']
['grounder.n.01.grounder', 'grounder.n.01.hopper']
['grounder.n.01.groundball', 'grounder.n.01.hopper']
['chop.n.05.chop', 'chop.n.05.chopper']
['scorcher.n.02.scorcher', 'scorcher.n.02.screamer']
['single.n.01.single', 'single.n.01.bingle']
['knock.n.05.knock', 'knock.n.05.belt']
['knock.n.05.knock', 'knock.n.05.rap']
['knock.n.05.knock', 'knock.n.05.whack']
['knock.n.05.knock', 'knock.n.05.whang']
['knock.n.05.belt', 'knock.n.05.rap']
['knock.n.05.belt', 'knock.n.05.whack']
['knock.n.05.belt', 'knock.n.05.whang']
['knock.n.05.rap', 'knock.n.05.whack']
['knock.n.05.rap', 'knock.n.05.whang']
['knock.n.05.whack', 'knock.n.05.whang']
['smack.n.06.smack', 'smack.n.06.smacking']
['smack.n.06.smack', 'smack.n.06.slap']
['smack.n.06.smacking', 'smack.n.06.slap']
['knockout.n.02.knockout', 'knockout.n.02.kayo']
['whip.n.05.whip', 'whip.n.05.lash']
['whip.n.05.whip', 'whip.n.05.whiplash']
['whip.n.05.lash', 'whip.n.05.whiplash']
['punch.n.01.punch', 'punch.n.01.clout']
['punch.n.01.punch', 'punch.n.01.poke']
['punch.n.01.punch', 'punch.n.01.lick']
['punch.n.01.punch', 'punch.n.01.biff']
['punch.n.01.punch', 'punch.n.01.slug']
['punch.n.01.clout', 'punch.n.01.poke']
['punch.n.01.clout', 'punch.n.01.lick']
['punch.n.01.clout', 'punch.n.01.biff']
['punch.n.01.clout', 'punch.n.01.slug']
['punch.n.01.poke', 'punch.n.01.lick']
['punch.n.01.poke', 'punch.n.01.biff']
['punch.n.01.poke', 'punch.n.01.slug']
['punch.n.01.lick', 'punch.n.01.biff']
['punch.n.01.lick', 'punch.n.01.slug']
['punch.n.01.biff', 'punch.n.01.slug']
['dig.n.05.dig', 'dig.n.05.jab']
['counterpunch.n.01.counterpunch', 'counterpunch.n.01.parry']
