('abience.n.01.abience', 'adience.n.01.adience')
('alternating_current.n.01.alternating_electric_current', 'direct_current.n.01.DC')
('alternating_current.n.01.alternating_electric_current', 'direct_current.n.01.direct_electric_current')
('alto_relievo.n.01.alto_relievo', 'bas_relief.n.01.bas_relief')
('alto_relievo.n.01.alto_relievo', 'bas_relief.n.01.low_relief')
('alto_relievo.n.01.alto_relievo', 'bas_relief.n.01.basso_relievo')
('alto_relievo.n.01.alto_relievo', 'bas_relief.n.01.basso_rilievo')
('alto_relievo.n.01.alto_rilievo', 'bas_relief.n.01.bas_relief')
('alto_relievo.n.01.alto_rilievo', 'bas_relief.n.01.low_relief')
('alto_relievo.n.01.alto_rilievo', 'bas_relief.n.01.basso_relievo')
('alto_relievo.n.01.alto_rilievo', 'bas_relief.n.01.basso_rilievo')
('alto_relievo.n.01.high_relief', 'bas_relief.n.01.bas_relief')
('alto_relievo.n.01.high_relief', 'bas_relief.n.01.low_relief')
('alto_relievo.n.01.high_relief', 'bas_relief.n.01.basso_relievo')
('alto_relievo.n.01.high_relief', 'bas_relief.n.01.basso_rilievo')
('altruism.n.01.altruism', 'egoism.n.02.egoism')
('altruism.n.01.altruism', 'egoism.n.02.egocentrism')
('altruism.n.01.altruism', 'egoism.n.02.self-interest')
('altruism.n.01.altruism', 'egoism.n.02.self-concern')
('altruism.n.01.altruism', 'egoism.n.02.self-centeredness')
('altruism.n.01.selflessness', 'egoism.n.02.egoism')
('altruism.n.01.selflessness', 'egoism.n.02.egocentrism')
('altruism.n.01.selflessness', 'egoism.n.02.self-interest')
('altruism.n.01.selflessness', 'egoism.n.02.self-concern')
('altruism.n.01.selflessness', 'egoism.n.02.self-centeredness')
('amateur.n.02.amateur', 'professional.n.02.professional')
('amateur.n.02.amateur', 'professional.n.02.pro')
('ambiguity.n.02.ambiguity', 'unambiguity.n.01.unambiguity')
('ambiguity.n.02.ambiguity', 'unambiguity.n.01.unequivocalness')
('ambiguity.n.02.equivocalness', 'unambiguity.n.01.unambiguity')
('ambiguity.n.02.equivocalness', 'unambiguity.n.01.unequivocalness')
('ambiversion.n.01.ambiversion', 'extraversion.n.01.extraversion')
('ambiversion.n.01.ambiversion', 'extraversion.n.01.extroversion')
('ambiversion.n.01.ambiversion', 'introversion.n.03.introversion')
('anabolism.n.01.anabolism', 'catabolism.n.01.catabolism')
('anabolism.n.01.anabolism', 'catabolism.n.01.katabolism')
('anabolism.n.01.anabolism', 'catabolism.n.01.dissimilation')
('anabolism.n.01.anabolism', 'catabolism.n.01.destructive_metabolism')
('anabolism.n.01.constructive_metabolism', 'catabolism.n.01.catabolism')
('anabolism.n.01.constructive_metabolism', 'catabolism.n.01.katabolism')
('anabolism.n.01.constructive_metabolism', 'catabolism.n.01.dissimilation')
('anabolism.n.01.constructive_metabolism', 'catabolism.n.01.destructive_metabolism')
('analysis.n.02.analysis', 'synthesis.n.02.synthesis')
('analysis.n.02.analysis', 'synthesis.n.02.synthetic_thinking')
('analysis.n.02.analytic_thinking', 'synthesis.n.02.synthesis')
('analysis.n.02.analytic_thinking', 'synthesis.n.02.synthetic_thinking')
('anamorphism.n.02.anamorphism', 'katamorphism.n.01.katamorphism')
('anaphrodisia.n.01.anaphrodisia', 'aphrodisia.n.01.aphrodisia')
('anapsid.n.01.anapsid', 'diapsid.n.01.diapsid')
('anapsid.n.01.anapsid', 'diapsid.n.01.diapsid_reptile')
('anapsid.n.01.anapsid_reptile', 'diapsid.n.01.diapsid')
('anapsid.n.01.anapsid_reptile', 'diapsid.n.01.diapsid_reptile')
('anastalsis.n.01.anastalsis', 'peristalsis.n.01.peristalsis')
('anastalsis.n.01.anastalsis', 'peristalsis.n.01.vermiculation')
('ancestor.n.01.ancestor', 'descendant.n.01.descendant')
('ancestor.n.01.ancestor', 'descendant.n.01.descendent')
('ancestor.n.01.ascendant', 'descendant.n.01.descendant')
('ancestor.n.01.ascendant', 'descendant.n.01.descendent')
('ancestor.n.01.ascendent', 'descendant.n.01.descendant')
('ancestor.n.01.ascendent', 'descendant.n.01.descendent')
('ancestor.n.01.antecedent', 'descendant.n.01.descendant')
('ancestor.n.01.antecedent', 'descendant.n.01.descendent')
('ancestor.n.01.root', 'descendant.n.01.descendant')
('ancestor.n.01.root', 'descendant.n.01.descendent')
('anestrus.n.01.anestrus', 'estrus.n.01.estrus')
('anestrus.n.01.anestrus', 'estrus.n.01.oestrus')
('anestrus.n.01.anestrus', 'estrus.n.01.heat')
('anestrus.n.01.anestrus', 'estrus.n.01.rut')
('anestrus.n.01.anestrum', 'estrus.n.01.estrus')
('anestrus.n.01.anestrum', 'estrus.n.01.oestrus')
('anestrus.n.01.anestrum', 'estrus.n.01.heat')
('anestrus.n.01.anestrum', 'estrus.n.01.rut')
('anestrus.n.01.anoestrus', 'estrus.n.01.estrus')
('anestrus.n.01.anoestrus', 'estrus.n.01.oestrus')
('anestrus.n.01.anoestrus', 'estrus.n.01.heat')
('anestrus.n.01.anoestrus', 'estrus.n.01.rut')
('anestrus.n.01.anoestrum', 'estrus.n.01.estrus')
('anestrus.n.01.anoestrum', 'estrus.n.01.oestrus')
('anestrus.n.01.anoestrum', 'estrus.n.01.heat')
('anestrus.n.01.anoestrum', 'estrus.n.01.rut')
('anglican.n.01.Anglican', 'nonconformist.n.01.Nonconformist')
('anglican.n.01.Anglican', 'nonconformist.n.01.chapelgoer')
('anglophilia.n.01.Anglophilia', 'anglophobia.n.01.Anglophobia')
('angularity.n.02.angularity', 'roundness.n.03.roundness')
('animateness.n.01.animateness', 'inanimateness.n.01.inanimateness')
('animateness.n.01.animateness', 'inanimateness.n.01.lifelessness')
('animateness.n.01.aliveness', 'inanimateness.n.01.inanimateness')
('animateness.n.01.aliveness', 'inanimateness.n.01.lifelessness')
('animateness.n.01.liveness', 'inanimateness.n.01.inanimateness')
('animateness.n.01.liveness', 'inanimateness.n.01.lifelessness')
('anisotropy.n.01.anisotropy', 'isotropy.n.01.isotropy')
('anisotropy.n.01.anisotropy', 'isotropy.n.01.symmetry')
('anode.n.01.anode', 'cathode.n.01.cathode')
('anode.n.02.anode', 'cathode.n.02.cathode')
('anovulation.n.01.anovulation', 'ovulation.n.01.ovulation')
('answer.n.03.answer', 'question.n.01.question')
('answer.n.03.answer', 'question.n.01.inquiry')
('answer.n.03.answer', 'question.n.01.enquiry')
('answer.n.03.answer', 'question.n.01.query')
('answer.n.03.answer', 'question.n.01.interrogation')
('antagonist.n.03.antagonist', 'synergist.n.01.synergist')
('antapex.n.01.antapex', 'apex.n.02.apex')
('antapex.n.01.antapex', 'apex.n.02.solar_apex')
('antapex.n.01.antapex', "apex.n.02.apex_of_the_sun's_way")
('anteriority.n.01.anteriority', 'posteriority.n.01.posteriority')
('anticatalyst.n.01.anticatalyst', 'catalyst.n.01.catalyst')
('anticatalyst.n.01.anticatalyst', 'catalyst.n.01.accelerator')
('anticyclone.n.01.anticyclone', 'cyclone.n.01.cyclone')
('antinode.n.01.antinode', 'node.n.04.node')
('antitype.n.02.antitype', 'type.n.01.type')
('antonym.n.01.antonym', 'synonym.n.01.synonym')
('antonym.n.01.antonym', 'synonym.n.01.equivalent_word')
('antonym.n.01.opposite_word', 'synonym.n.01.synonym')
('antonym.n.01.opposite_word', 'synonym.n.01.equivalent_word')
('antonym.n.01.opposite', 'synonym.n.01.synonym')
('antonym.n.01.opposite', 'synonym.n.01.equivalent_word')
('aphelion.n.01.aphelion', 'perihelion.n.01.perihelion')
('apoapsis.n.01.apoapsis', 'periapsis.n.01.periapsis')
('apoapsis.n.01.apoapsis', 'periapsis.n.01.point_of_periapsis')
('apoapsis.n.01.point_of_apoapsis', 'periapsis.n.01.periapsis')
('apoapsis.n.01.point_of_apoapsis', 'periapsis.n.01.point_of_periapsis')
('apogee.n.02.apogee', 'perigee.n.01.perigee')
('apojove.n.01.apojove', 'perijove.n.01.perijove')
('apophatism.n.01.apophatism', 'cataphatism.n.01.cataphatism')
('apophatism.n.01.apophatism', 'doctrine_of_analogy.n.01.doctrine_of_analogy')
('apophatism.n.01.apophatism', 'doctrine_of_analogy.n.01.analogy')
('aposelene.n.01.aposelene', 'periselene.n.01.periselene')
('aposelene.n.01.aposelene', 'periselene.n.01.perilune')
('aposelene.n.01.apolune', 'periselene.n.01.periselene')
('aposelene.n.01.apolune', 'periselene.n.01.perilune')
('appearance.n.02.appearance', 'disappearance.n.02.disappearance')
('appearance.n.05.appearance', 'disappearance.n.01.disappearance')
('appearance.n.05.appearance', 'disappearance.n.01.disappearing')
('appetizingness.n.01.appetizingness', 'unappetizingness.n.01.unappetizingness')
('appetizingness.n.01.appetizingness', 'unappetizingness.n.01.unappetisingness')
('appetizingness.n.01.appetisingness', 'unappetizingness.n.01.unappetizingness')
('appetizingness.n.01.appetisingness', 'unappetizingness.n.01.unappetisingness')
('applicability.n.01.applicability', 'inapplicability.n.01.inapplicability')
('applicability.n.01.pertinence', 'inapplicability.n.01.inapplicability')
('applicability.n.01.pertinency', 'inapplicability.n.01.inapplicability')
('appreciation.n.05.appreciation', 'depreciation.n.01.depreciation')
('approachability.n.01.approachability', 'unapproachability.n.01.unapproachability')
('approachability.n.01.accessibility', 'unapproachability.n.01.unapproachability')
('approbation.n.02.approbation', 'disapprobation.n.01.disapprobation')
('approbation.n.02.approbation', 'disapprobation.n.01.condemnation')
('appropriateness.n.01.appropriateness', 'inappropriateness.n.01.inappropriateness')
('appropriateness.n.01.appropriateness', 'inappropriateness.n.01.wrongness')
('appropriateness.n.01.rightness', 'inappropriateness.n.01.inappropriateness')
('appropriateness.n.01.rightness', 'inappropriateness.n.01.wrongness')
('appropriateness.n.02.appropriateness', 'inappropriateness.n.02.inappropriateness')
('appropriateness.n.02.appropriateness', 'inappropriateness.n.02.unworthiness')
('approval.n.02.approval', 'disapproval.n.01.disapproval')
('approval.n.04.approval', 'disapproval.n.02.disapproval')
('approval.n.04.commendation', 'disapproval.n.02.disapproval')
('aptitude.n.01.aptitude', 'inaptitude.n.01.inaptitude')
('aptness.n.02.aptness', 'inaptness.n.01.inaptness')
('aptness.n.02.aptness', 'inaptness.n.01.inappositeness')
('aptness.n.02.appositeness', 'inaptness.n.01.inaptness')
('aptness.n.02.appositeness', 'inaptness.n.01.inappositeness')
('arabic_numeral.n.01.Arabic_numeral', 'roman_numeral.n.01.Roman_numeral')
('arabic_numeral.n.01.Hindu_numeral', 'roman_numeral.n.01.Roman_numeral')
('arabic_numeral.n.01.Hindu-Arabic_numeral', 'roman_numeral.n.01.Roman_numeral')
('arianism.n.01.Arianism', 'athanasianism.n.01.Athanasianism')
('arming.n.01.arming', 'disarming.n.01.disarming')
('arming.n.01.arming', 'disarming.n.01.disarmament')
('arming.n.01.armament', 'disarming.n.01.disarming')
('arming.n.01.armament', 'disarming.n.01.disarmament')
('arming.n.01.equipping', 'disarming.n.01.disarming')
('arming.n.01.equipping', 'disarming.n.01.disarmament')
('artfulness.n.01.artfulness', 'artlessness.n.02.artlessness')
('artifact.n.01.artifact', 'natural_object.n.01.natural_object')
('artifact.n.01.artefact', 'natural_object.n.01.natural_object')
('artificial_language.n.01.artificial_language', 'natural_language.n.01.natural_language')
('artificial_language.n.01.artificial_language', 'natural_language.n.01.tongue')
('ascending_node.n.01.ascending_node', 'descending_node.n.01.descending_node')
('ascent.n.01.ascent', 'descent.n.05.descent')
('ascent.n.01.ascent', 'descent.n.05.declivity')
('ascent.n.01.ascent', 'descent.n.05.fall')
('ascent.n.01.ascent', 'descent.n.05.decline')
('ascent.n.01.ascent', 'descent.n.05.declination')
('ascent.n.01.ascent', 'descent.n.05.declension')
('ascent.n.01.ascent', 'descent.n.05.downslope')
('ascent.n.01.acclivity', 'descent.n.05.descent')
('ascent.n.01.acclivity', 'descent.n.05.declivity')
('ascent.n.01.acclivity', 'descent.n.05.fall')
('ascent.n.01.acclivity', 'descent.n.05.decline')
('ascent.n.01.acclivity', 'descent.n.05.declination')
('ascent.n.01.acclivity', 'descent.n.05.declension')
('ascent.n.01.acclivity', 'descent.n.05.downslope')
('ascent.n.01.rise', 'descent.n.05.descent')
('ascent.n.01.rise', 'descent.n.05.declivity')
('ascent.n.01.rise', 'descent.n.05.fall')
('ascent.n.01.rise', 'descent.n.05.decline')
('ascent.n.01.rise', 'descent.n.05.declination')
('ascent.n.01.rise', 'descent.n.05.declension')
('ascent.n.01.rise', 'descent.n.05.downslope')
('ascent.n.01.raise', 'descent.n.05.descent')
('ascent.n.01.raise', 'descent.n.05.declivity')
('ascent.n.01.raise', 'descent.n.05.fall')
('ascent.n.01.raise', 'descent.n.05.decline')
('ascent.n.01.raise', 'descent.n.05.declination')
('ascent.n.01.raise', 'descent.n.05.declension')
('ascent.n.01.raise', 'descent.n.05.downslope')
('ascent.n.01.climb', 'descent.n.05.descent')
('ascent.n.01.climb', 'descent.n.05.declivity')
('ascent.n.01.climb', 'descent.n.05.fall')
('ascent.n.01.climb', 'descent.n.05.decline')
('ascent.n.01.climb', 'descent.n.05.declination')
('ascent.n.01.climb', 'descent.n.05.declension')
('ascent.n.01.climb', 'descent.n.05.downslope')
('ascent.n.01.upgrade', 'descent.n.05.descent')
('ascent.n.01.upgrade', 'descent.n.05.declivity')
('ascent.n.01.upgrade', 'descent.n.05.fall')
('ascent.n.01.upgrade', 'descent.n.05.decline')
('ascent.n.01.upgrade', 'descent.n.05.declination')
('ascent.n.01.upgrade', 'descent.n.05.declension')
('ascent.n.01.upgrade', 'descent.n.05.downslope')
('asperity.n.02.asperity', 'dullness.n.05.dullness')
('asperity.n.02.asperity', 'dullness.n.05.bluntness')
('asperity.n.02.sharpness', 'dullness.n.05.dullness')
('asperity.n.02.sharpness', 'dullness.n.05.bluntness')
('assembly.n.06.assembly', 'dismantling.n.01.dismantling')
('assembly.n.06.assembly', 'dismantling.n.01.dismantlement')
('assembly.n.06.assembly', 'dismantling.n.01.disassembly')
('assembly.n.06.assemblage', 'dismantling.n.01.dismantling')
('assembly.n.06.assemblage', 'dismantling.n.01.dismantlement')
('assembly.n.06.assemblage', 'dismantling.n.01.disassembly')
('assembly.n.06.gathering', 'dismantling.n.01.dismantling')
('assembly.n.06.gathering', 'dismantling.n.01.dismantlement')
('assembly.n.06.gathering', 'dismantling.n.01.disassembly')
('asset.n.01.asset', 'liability.n.03.liability')
('asset.n.01.plus', 'liability.n.03.liability')
('association.n.03.association', 'disassociation.n.01.disassociation')
('assortative_mating.n.01.assortative_mating', 'disassortative_mating.n.01.disassortative_mating')
('astigmatism.n.02.astigmatism', 'stigmatism.n.02.stigmatism')
('astigmatism.n.02.astigmia', 'stigmatism.n.02.stigmatism')
('asymmetry.n.01.asymmetry', 'symmetry.n.01.symmetry')
('asymmetry.n.01.asymmetry', 'symmetry.n.01.symmetricalness')
('asymmetry.n.01.asymmetry', 'symmetry.n.01.correspondence')
('asymmetry.n.01.asymmetry', 'symmetry.n.01.balance')
('asymmetry.n.01.dissymmetry', 'symmetry.n.01.symmetry')
('asymmetry.n.01.dissymmetry', 'symmetry.n.01.symmetricalness')
('asymmetry.n.01.dissymmetry', 'symmetry.n.01.correspondence')
('asymmetry.n.01.dissymmetry', 'symmetry.n.01.balance')
('asymmetry.n.01.imbalance', 'symmetry.n.01.symmetry')
('asymmetry.n.01.imbalance', 'symmetry.n.01.symmetricalness')
('asymmetry.n.01.imbalance', 'symmetry.n.01.correspondence')
('asymmetry.n.01.imbalance', 'symmetry.n.01.balance')
('asynchronism.n.01.asynchronism', 'synchronism.n.01.synchronism')
('asynchronism.n.01.asynchronism', 'synchronism.n.01.synchrony')
('asynchronism.n.01.asynchronism', 'synchronism.n.01.synchronicity')
('asynchronism.n.01.asynchronism', 'synchronism.n.01.synchroneity')
('asynchronism.n.01.asynchronism', 'synchronism.n.01.synchronization')
('asynchronism.n.01.asynchronism', 'synchronism.n.01.synchronisation')
('asynchronism.n.01.asynchronism', 'synchronism.n.01.synchronizing')
